beta,alpha,tvd
1.0,5.268356063861754e-9,3.6684939594143943e-6
1.0,5.646484220439194e-9,3.841274821454588e-6
1.0,6.051751944096648e-9,4.2035556211514645e-6
1.0,6.486107135535215e-9,4.466912028724e-6
1.0,6.951637503033925e-9,5.013574355682635e-6
1.0,7.450580596923828e-9,5.230609807122301e-6
1.0,7.985334564270781e-9,5.7570984530069394e-6
1.0,8.558469675459224e-9,6.021908958103189e-6
1.0,9.172740678078808e-9,6.9089096581858705e-6
1.0,9.831100037492013e-9,7.280476629160747e-6
1.0,1.0536712127723509e-8,8.088531942164614e-6
1.0,1.1292968440878388e-8,8.579102891418994e-6
1.0,1.2103503888193296e-8,9.183993323522003e-6
1.0,1.297221427107043e-8,1.0042107149300622e-5
1.0,1.390327500606785e-8,1.0557757375228785e-5
1.0,1.4901161193847656e-8,1.1699432495900122e-5
1.0,1.5970669128541563e-8,1.2370163511592577e-5
1.0,1.711693935091845e-8,1.3170963511221008e-5
1.0,1.8345481356157615e-8,1.4662734836276104e-5
1.0,1.9662200074984027e-8,1.5499186880509052e-5
1.0,2.1073424255447017e-8,1.7068207667092933e-5
1.0,2.2585936881756776e-8,1.814220085009162e-5
1.0,2.4207007776386593e-8,1.957110105825149e-5
1.0,2.594442854214086e-8,2.0616842752690516e-5
1.0,2.78065500121357e-8,2.250837741772529e-5
1.0,2.9802322387695312e-8,2.4123713010282248e-5
1.0,3.1941338257083125e-8,2.571144637176507e-5
1.0,3.42338787018369e-8,2.659825603603791e-5
1.0,3.669096271231523e-8,3.0521555016305404e-5
1.0,3.9324400149968054e-8,3.2433957264457744e-5
1.0,4.2146848510894035e-8,3.452370657110549e-5
1.0,4.517187376351355e-8,3.7724580280670174e-5
1.0,4.8414015552773186e-8,4.011463128454754e-5
1.0,5.188885708428172e-8,4.276559004496142e-5
1.0,5.56131000242714e-8,4.744977882435643e-5
1.0,5.960464477539063e-8,4.931818578375846e-5
1.0,6.388267651416625e-8,5.29804356513409e-5
1.0,6.84677574036738e-8,5.628714834533266e-5
1.0,7.338192542463046e-8,6.0698426482420784e-5
1.0,7.864880029993611e-8,6.623893715442361e-5
1.0,8.429369702178807e-8,7.445119076257563e-5
1.0,9.03437475270271e-8,7.921507086270215e-5
1.0,9.682803110554637e-8,8.377346053790112e-5
1.0,1.0377771416856343e-7,9.01844584832313e-5
1.0,1.112262000485428e-7,9.640030487878529e-5
1.0,1.1920928955078125e-7,0.00010196704585801299
1.0,1.277653530283325e-7,0.00011093347261344351
1.0,1.369355148073476e-7,0.00011574360155339761
1.0,1.4676385084926092e-7,0.00012307304034977053
1.0,1.5729760059987222e-7,0.00013368615820096878
1.0,1.6858739404357614e-7,0.00014474449425336483
1.0,1.806874950540542e-7,0.00015116679310809704
1.0,1.9365606221109274e-7,0.0001673055651845872
1.0,2.0755542833712687e-7,0.0001750833551553458
1.0,2.224524000970856e-7,0.00018390769503777763
1.0,2.384185791015625e-7,0.00020608873634154993
1.0,2.55530706056665e-7,0.00022136321539892063
1.0,2.738710296146952e-7,0.00023569114420152098
1.0,2.9352770169852185e-7,0.0002590427429389568
1.0,3.1459520119974443e-7,0.00027194233113657986
1.0,3.371747880871523e-7,0.00030350437310879756
1.0,3.613749901081084e-7,0.00032299951023649436
1.0,3.873121244221855e-7,0.0003412153996590579
1.0,4.1511085667425373e-7,0.0003678111510977054
1.0,4.449048001941712e-7,0.00039242344694635886
1.0,4.76837158203125e-7,0.00042729225190503146
1.0,5.1106141211333e-7,0.00044731671636667845
1.0,5.477420592293904e-7,0.0004780351691602161
1.0,5.870554033970437e-7,0.0005019944440848231
1.0,6.291904023994889e-7,0.0005366131409673025
1.0,6.743495761743046e-7,0.0005709512417282344
1.0,7.227499802162168e-7,0.0005983704126498783
1.0,7.74624248844371e-7,0.0006495324978731285
1.0,8.302217133485075e-7,0.0006827314447710571
1.0,8.898096003883424e-7,0.0007315287797879164
1.0,9.5367431640625e-7,0.0007987956382743645
1.0,1.02212282422666e-6,0.0008520938294701018
1.0,1.0954841184587807e-6,0.0009069117015252082
1.0,1.1741108067940874e-6,0.0009974998779339085
1.0,1.2583808047989777e-6,0.0010715497055760626
1.0,1.3486991523486091e-6,0.0011398843479926597
1.0,1.4454999604324336e-6,0.0012462446307347356
1.0,1.549248497688742e-6,0.0013414566225237404
1.0,1.660443426697015e-6,0.0014435651380970836
1.0,1.7796192007766848e-6,0.0015311728888169345
1.0,1.9073486328125e-6,0.0016535295457364627
1.0,2.04424564845332e-6,0.0017235504099607627
1.0,2.1909682369175614e-6,0.0018221706905445908
1.0,2.3482216135881748e-6,0.0018975008574275472
1.0,2.5167616095979554e-6,0.002006627095381113
1.0,2.6973983046972182e-6,0.00210620666735327
1.0,2.8909999208648673e-6,0.002242750355522619
1.0,3.098496995377484e-6,0.002359800972254831
1.0,3.32088685339403e-6,0.0025590475184351764
1.0,3.5592384015533696e-6,0.002735709978573464
1.0,3.814697265625e-6,0.0028960639094995503
1.0,4.08849129690664e-6,0.0031563672553126115
1.0,4.381936473835123e-6,0.0034158244454446382
1.0,4.6964432271763496e-6,0.0036999927593157306
1.0,5.033523219195911e-6,0.0039213050546688475
1.0,5.3947966093944364e-6,0.004244715400547433
1.0,5.781999841729735e-6,0.004546568965104574
1.0,6.196993990754968e-6,0.0049159988439942525
1.0,6.64177370678806e-6,0.005331558873181122
1.0,7.118476803106739e-6,0.005562650114294992
1.0,7.62939453125e-6,0.005855723649659896
1.0,8.17698259381328e-6,0.006195887163655142
1.0,8.763872947670246e-6,0.006566723962518776
1.0,9.392886454352699e-6,0.006864423355248301
1.0,1.0067046438391822e-5,0.0072532925825459175
1.0,1.0789593218788873e-5,0.0077094581489538004
1.0,1.156399968345947e-5,0.00811693627095795
1.0,1.2393987981509936e-5,0.008551309179820046
1.0,1.328354741357612e-5,0.009214382935395869
